BEGIN_YEAR,BEGIN_MONTH,BEGIN_DAY,EVENT_ID,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,FLOOD_CAUSE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
2019,03,23,814911,March,Flood,0,0,0,0,804.00K,0.00K,Heavy Rain / Snow Melt,ABSAROKEE,45.4776,-109.3571,45.50899999999999,-109.8513
2019,03,17,815050,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,HENDERSON,44.4622,-93.9153,44.4655,-93.9351
2019,03,12,815674,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,SOUTH AUGUSTA,40.7534,-91.2685,40.7546,-91.2679
2019,03,13,815680,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,DEWITT,41.7623,-90.5723,41.763999999999996,-90.5721
2019,03,13,815681,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,GAMBRILL,41.7614,-90.5754,41.7603,-90.5737
2019,03,13,815679,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,MAQUOKETA,42.0755,-90.6867,42.0791,-90.6642
2019,03,13,813078,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,HUNTINGTON,43.4993,-94.9132,43.4991,-94.4438
2019,03,17,814879,March,Flash Flood,0,0,0,0,200.00K,0.00K,Heavy Rain / Snow Melt,DOWS,42.6398,-93.4916,42.5675,-93.4932
2019,03,21,814033,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,RAUVILLE,45.06,-97.06,44.98,-96.91
2019,03,13,813040,March,Flood,0,0,0,0,50.00K,0.00K,Heavy Rain,WESTERVILLE,41.4,-99.39,41.4084,-99.2363
2019,03,14,813041,March,Flood,0,0,0,0,1.00M,0.00K,Ice Jam,SARGENT,41.63,-99.37,41.6259,-99.3719
2019,03,14,813042,March,Flood,0,0,0,0,500.00K,0.00K,Ice Jam,OCONTO,41.1938,-99.7085,41.1934,-99.7078
2019,03,14,813081,March,Flood,0,0,0,0,200.00K,0.00K,Heavy Rain / Snow Melt,ST ANTHONY,42.1954,-93.2178,42.1997,-92.7665
2019,03,15,813132,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,CLARE,42.6159,-94.3997,42.641999999999996,-93.9731
2019,03,14,811287,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,LA FARGE,43.553000000000004,-90.6715,43.5553,-90.3138
2019,03,14,811305,March,Flood,0,1,0,0,750.00K,0.00K,Heavy Rain / Snow Melt,NEW ROME,44.2492,-89.8676,44.1122,-89.9618
2019,03,13,811411,March,Flood,0,0,0,0,15.00K,0.00K,Heavy Rain / Snow Melt,MUSCODA,43.1977,-90.4344,43.1804,-90.6018
2019,03,6,814649,March,Flash Flood,0,0,0,0,2.00K,0.00K,Heavy Rain,OLANCHA,36.2884,-118.0137,36.2891,-118.0122
2019,03,6,814650,March,Flash Flood,0,0,0,0,1.00K,0.00K,Heavy Rain,PIONEER PT,35.8418,-117.3375,35.8416,-117.3357
2019,03,6,814651,March,Flash Flood,0,0,0,0,5.00K,0.00K,Heavy Rain,BISHOP,37.3173,-118.3914,37.3186,-118.3914
